ID,Name,Type,PW,StaminaLossScalar (unsure if matters),Duration (ms),Damage Window (ms),NRG,NRGPS,DPS
200,Fury Cutter,Bug,3,0.01,400,200,6,15.00,7.50
201,Bug Bite,Bug,5,0.01,450,200,7,15.56,11.11
202,Bite,Dark,6,0.01,500,200,7,14.00,12.00
203,Sucker Punch,Dark,7,0.01,700,200,9,12.86,10.00
204,Dragon Breath,Dragon,6,0.01,500,200,7,14.00,12.00
205,Thunder Shock,Electric,5,0.01,600,200,8,13.33,8.33
206,Spark,Electric,7,0.01,700,200,8,11.43,10.00
207,Low Kick,Fighting,5,0.01,600,200,7,11.67,8.33
208,Karate Chop,Fighting,6,0.01,800,200,8,10.00,7.50
209,Ember,Fire,10,0.01,1050,200,10,9.52,9.52
210,Wing Attack,Flying,9,0.01,750,200,7,9.33,12.00
211,Peck,Flying,10,0.01,1150,200,10,8.70,8.70
212,Lick,Ghost,5,0.01,500,200,6,12.00,10.00
213,Shadow Claw,Ghost,11,0.01,950,200,8,8.42,11.58
214,Vine Whip,Grass,7,0.01,650,200,7,10.77,10.77
215,Razor Leaf,Grass,15,0.01,1450,200,12,8.28,10.34
216,Mud Shot,Ground,6,0.01,550,200,7,12.73,10.91
217,Ice Shard,Ice,15,0.01,1400,200,12,8.57,10.71
218,Frost Breath,Ice,9,0.01,810,200,7,8.64,11.11
219,Quick Attack,Normal,10,0.01,1330,200,12,9.02,7.52
220,Scratch,Normal,6,0.01,500,200,7,14.00,12.00
221,Tackle,Normal,12,0.01,1100,200,10,9.09,10.91
222,Pound,Normal,7,0.01,540,200,7,12.96,12.96
223,Cut,Normal,12,0.01,1130,200,10,8.85,10.62
224,Poison Jab,Poison,12,0.01,1050,200,10,9.52,11.43
225,Acid,Poison,10,0.01,1050,200,10,9.52,9.52
226,Psycho Cut,Psychic,7,0.01,570,200,7,12.28,12.28
227,Rock Throw,Rock,12,0.01,1360,200,15,11.03,8.82
228,Metal Claw,Steel,8,0.01,630,200,7,11.11,12.70
229,Bullet Punch,Steel,10,0.01,1200,200,10,8.33,8.33
230,Water Gun,Water,6,0.01,500,200,7,14.00,12.00
231,Splash,Water,0,0.01,1230,200,10,8.13,0.00
232,Water Gun (Blastoise),Water,6,0.01,500,200,7,14.00,12.00
233,Mud Slap,Ground,15,0.01,1350,200,12,8.89,11.11
234,Zen Headbutt,Psychic,12,0.01,1050,200,9,8.57,11.43
235,Confusion,Psychic,15,0.01,1510,200,14,9.27,9.93
236,Poison Sting,Poison,6,0.01,575,200,8,13.91,10.43
237,Bubble,Water,25,0.01,2300,200,25,10.87,10.87
238,Feint Attack,Dark,12,0.01,1040,200,10,9.62,11.54
239,Steel Wing,Steel,15,0.01,1330,200,12,9.02,11.28
240,Fire Fang,Fire,10,0.01,840,200,8,9.52,11.90
241,Rock Smash,Fighting,15,0.01,1410,200,12,8.51,10.64
