Name,#,HP Ratio,Attack Ratio,Defense Ratio,Min CP Cap,Max CP Cap
Bulbasaur,1,90,126,126,838,1072
Ivysaur,2,120,156,158,1342,1632
Venusaur,3,160,198,200,2212,2580
Charmander,4,78,128,108,734,955
Charmeleon,5,116,160,140,1273,1557
Charizard,6,156,212,182,2231,2602
Squirtle,7,88,112,142,782,1009
Wartortle,8,118,144,176,1296,1583
Blastoise,9,158,186,222,2176,2542
Caterpie,10,90,62,66,298,444
Metapod,11,100,56,86,324,478
Butterfree,12,120,144,144,1182,1455
Weedle,13,80,68,64,304,449
Kakuna,14,90,62,82,333,485
Beedrill,15,130,144,130,1169,1440
Pidgey,16,80,94,90,498,680
Pidgeotto,17,126,126,122,976,1224
Pidgeot,18,166,170,166,1763,2091
Rattata,19,60,92,86,413,582
Raticate,20,110,146,150,1171,1444
Spearow,21,80,102,78,503,687
Fearow,22,130,168,146,1446,1746
Ekans,23,70,112,112,619,824
Arbok,24,120,166,166,1463,1767
Pikachu,25,70,124,108,673,888
Raichu,26,120,200,154,1698,2028
Sandshrew,27,100,90,114,600,799
Sandslash,28,150,150,172,1505,1810
Nidoran F,29,110,100,104,668,876
Nidorina,30,140,132,136,1138,1405
Nidoqueen,31,180,184,190,2125,2485
Nidoran M,32,92,110,94,639,843
Nidorino,33,122,142,128,1108,1372
Nidoking,34,162,204,170,2114,2475
Clefairy,35,140,116,124,955,1201
Clefable,36,190,178,178,2045,2398
Vulpix,37,76,106,118,627,831
Ninetales,38,146,176,194,1850,2188
Jigglypuff,39,230,98,54,682,918
Wigglytuff,40,280,168,108,1825,2177
Zubat,41,80,88,90,466,643
Golbat,42,150,164,164,1607,1921
Oddish,43,90,134,130,905,1148
Gloom,44,120,162,158,1393,1689
Vileplume,45,150,202,190,2130,2493
Paras,46,70,122,120,698,917
Parasect,47,120,162,170,1445,1747
Venonat,48,120,108,118,803,1029
Venomoth,49,140,172,154,1577,1890
Diglett,50,20,108,86,280,457
Dugtrio,51,70,148,140,915,1169
Meowth,52,80,104,94,563,756
Persian,53,130,156,146,1342,1632
Psyduck,54,100,132,112,873,1110
Golduck,55,160,194,176,2033,2387
Mankey,56,80,122,96,668,879
Primeape,57,130,178,150,1552,1865
Growlithe,58,110,156,110,1072,1335
Arcanine,59,180,230,180,2586,2984
Poliwag,60,80,108,98,597,796
Poliwhirl,61,130,132,132,1080,1340
Poliwrath,62,180,180,202,2144,2505
Abra,63,50,110,76,424,600
Kadabra,64,80,150,112,887,1132
Alakazam,65,110,186,152,1502,1814
Machop,66,140,118,96,854,1090
Machoke,67,160,154,144,1460,1761
Machamp,68,180,198,180,2226,2594
Bellsprout,69,100,158,78,872,1117
Weepinbell,70,130,190,110,1419,1724
Victreebel,71,160,222,152,2162,2531
Tentacool,72,80,106,136,691,905
Tentacruel,73,160,170,196,1880,2220
Geodude,74,80,106,118,643,849
Graveler,75,110,142,156,1162,1434
Golem,76,160,176,198,1957,2303
Ponyta,77,100,168,138,1233,1516
Rapidash,78,130,200,170,1857,2199
Slowpoke,79,180,110,110,967,1219
Slowbro,80,190,184,198,2229,2597
Magnemite,81,50,128,138,664,891
Magneton,82,100,186,180,1559,1880
Farfetch'd,83,104,138,132,1010,1264
Doduo,84,70,126,96,645,855
Dodrio,85,120,182,150,1525,1836
Seel,86,130,104,138,870,1107
